batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc	keep_for_correction
batch2	WT_2	5110799.64	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	4.734062385	NA	NA	FALSE	TRUE
batch2	WT_3	6292902.938	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	2.700341357	NA	NA	FALSE	TRUE
batch2	WT_5	26800000	PS(20:0_22:4)	PS(20:0_22:4)-H	PS	866.5916605	NA	40.02123249	NA	NA	FALSE	TRUE
batch2	HO_10	118000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	19.95465125	NA	NA	FALSE	TRUE
batch2	HO_11	125000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	30.55691779	NA	NA	FALSE	TRUE
batch2	HO_12	135000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	22.77699319	NA	NA	FALSE	TRUE
batch2	HO_9	131000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	33.95590508	NA	NA	FALSE	TRUE
batch2	QC_0	137000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	30.97722761	NA	NA	TRUE	TRUE
batch2	QC_1	134000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	25.52678973	NA	NA	TRUE	TRUE
batch2	QC_2	128000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	32.71678641	NA	NA	TRUE	TRUE
batch2	QC_3	124000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	30.23963466	NA	NA	TRUE	TRUE
batch2	WT_1	121000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	25.06336868	NA	NA	FALSE	TRUE
batch2	WT_2	112000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	25.29147927	NA	NA	FALSE	TRUE
batch2	WT_3	126000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	B	42.3804683	NA	NA	FALSE	TRUE
batch2	WT_5	132000000	PS(20:2_22:4)	PS(20:2_22:4)-H	PS	862.5603605	C	7.698623849	NA	NA	FALSE	TRUE
batch2	HO_10	24400000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	4.234000708	NA	NA	FALSE	TRUE
batch2	HO_11	24400000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	40.1089025	NA	NA	FALSE	TRUE
batch2	HO_12	26000000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	12.78950653	NA	NA	FALSE	TRUE
batch2	HO_9	24000000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	B	34.41233706	NA	NA	FALSE	TRUE
batch2	QC_0	23300000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	48.29256298	NA	NA	TRUE	TRUE
batch2	QC_1	22600000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	B	67.37689406	NA	NA	TRUE	TRUE
batch2	QC_2	21900000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	2184060	NA	NA	TRUE	TRUE
batch2	QC_3	22000000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	2324736.75	NA	NA	TRUE	TRUE
batch2	WT_1	20700000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	41.61749647	NA	NA	FALSE	TRUE
batch2	WT_2	22000000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	4.80732004	NA	NA	FALSE	TRUE
batch2	WT_3	22800000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	76.33146326	NA	NA	FALSE	TRUE
batch2	WT_5	23500000	PS(20:2_22:5)	PS(20:2_22:5)-H	PS	860.5447105	C	23.33717287	NA	NA	FALSE	TRUE
batch2	HO_10	20000000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	17.31175989	NA	NA	FALSE	TRUE
batch2	HO_11	24500000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	B	12.01865105	NA	NA	FALSE	TRUE
batch2	HO_12	20500000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	7.577704478	NA	NA	FALSE	TRUE
batch2	HO_9	27500000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	12.9575212	NA	NA	FALSE	TRUE
batch2	QC_0	22100000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	16.69111193	NA	NA	TRUE	TRUE
