Class	global_sample_id	group	sum_intensity	mean_intensity	log2_mean_intensity
PA	batch3_HO_8	HO	1316957410.583603	188136772.9405147	27.487206622600283
PA	batch3_QC_0	NA	1245269420.3625886	177895631.4803698	27.406455842390944
PA	batch3_QC_1	NA	1405096913.0149245	200728130.4307035	27.580667572057564
PA	batch3_QC_2	NA	722479685.2473432	103211383.60676332	26.621026859388255
PA	batch3_QC_3	NA	1219151103.4458606	174164443.34940866	27.375874878790857
PA	batch3_WT_1	WT	715575813.7252897	102225116.24646994	26.60717446254143
PA	batch3_WT_2	WT	1228097871.5459251	175442553.07798928	27.38642347078617
PA	batch3_WT_3	WT	1258943151.4690557	179849021.63843656	27.42221107046981
PA	batch3_WT_4	WT	1417299468.6457267	202471352.66367525	27.593142557003702
PC	batch1_HO_5	HO	591770164838.2283	1494369103.1268368	30.47688938597029
PC	batch1_HO_6	HO	578768586383.0374	1461536834.3005996	30.44483904302976
PC	batch1_HO_7	HO	481133932867.12683	1214984678.9573915	30.178290975445666
PC	batch1_HO_8	HO	503049817007.6552	1270327820.7264023	30.242553700831664
PC	batch1_QC_1	NA	431640169620.77594	1090000428.3352926	30.021681555921568
PC	batch1_WT_1	WT	553851573546.1727	1398615084.7125576	30.381351824506083
PC	batch1_WT_2	WT	520844727076.73444	1315264462.3149865	30.29270576765554
PC	batch1_WT_3	WT	556525365862.7896	1405367085.512096	30.3882998693267
PC	batch1_WT_4	WT	536126058164.8871	1353853682.2345626	30.334424682026896
PC	batch2_HO_10	HO	577295411316.6317	2076602198.980689	30.951577729040288
PC	batch2_HO_11	HO	573823806032.8119	2064114410.1899712	30.94287579298345
PC	batch2_HO_12	HO	523599436272.344	1883451209.6127484	30.810731515059494
PC	batch2_HO_9	HO	590379234384.3556	2123666310.7350898	30.983909948910085
PC	batch2_QC_0	NA	589681510215.2	2121156511.565468	30.98220392941803
PC	batch2_QC_1	NA	548713806852.3375	1973790672.1307106	30.878321848698356
PC	batch2_QC_2	NA	577715885531.5972	2078114696.1568234	30.95262813624099
PC	batch2_QC_3	NA	553742474036.4298	1991879403.0087404	30.891483157040838
PC	batch2_WT_1	WT	612061609897.8184	2201660467.2583385	31.035944852420066
