batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	HO_6	174350972.4	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	C	4.169184689933767	NA	NA	FALSE
batch1	HO_5	232025777.8	PE(18:0_20:4)	PE(18:0_20:4)+H	PE	768.5537834700001	A	4.057036524036861	NA	NA	FALSE
batch1	QC_1	219515.394	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	0	NA	NA	TRUE
batch1	WT_4	674897.6754	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	0.49999766221460373	NA	NA	FALSE
batch1	WT_3	31506.538	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	-0.49999927	NA	NA	FALSE
batch1	WT_2	231606.011	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	174480.52	NA	NA	FALSE
batch1	WT_1	0	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	NA	NA	NA	FALSE
batch1	HO_8	0	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	B	0	NA	NA	FALSE
batch1	HO_7	0	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	-0.499997498	NA	NA	FALSE
batch1	HO_6	1157303.96	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	429290.88	NA	NA	FALSE
batch1	HO_5	205145.1687	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	NA	0.4999970021408911	NA	NA	FALSE
batch1	QC_1	164813319.4	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	15929430	NA	NA	TRUE
batch1	WT_4	166623160.3	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	B	25.487404936276043	NA	NA	FALSE
batch1	WT_3	159806465.8	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	14750036	NA	NA	FALSE
batch1	WT_2	162911370.3	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	50.37922236393244	NA	NA	FALSE
batch1	WT_1	159245710.3	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	27.939663328405832	NA	NA	FALSE
batch1	HO_8	191783546.4	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	25.752413062504782	NA	NA	FALSE
batch1	HO_7	138209016.3	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	26.89180414101531	NA	NA	FALSE
batch1	HO_6	122707392	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	40.37524894943261	NA	NA	FALSE
batch1	HO_5	154064406.2	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	4.126713795183076	NA	NA	FALSE
batch1	QC_1	31937881.67	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	4177039.5	NA	NA	TRUE
batch1	WT_4	30749290.97	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	6.112719333496252	NA	NA	FALSE
batch1	WT_3	29655447.4	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	A	4311644.5	NA	NA	FALSE
batch1	WT_2	29901877.09	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	13.258702654881606	NA	NA	FALSE
batch1	WT_1	28409655.93	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	7.255451540488167	NA	NA	FALSE
batch1	HO_8	35442782.87	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	6.203952486057733	NA	NA	FALSE
batch1	HO_7	28022724.94	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	7.8661084391106115	NA	NA	FALSE
batch1	HO_6	22949954.2	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	8.927823629694588	NA	NA	FALSE
batch1	HO_5	28037242.39	PE(16:0e_22:4)-H	PE(16:0e_22:4)-H	PE	752.5599655299999	NA	1.1759940940435218	NA	NA	FALSE
batch1	QC_1	122930639.7	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	10257080	NA	NA	TRUE
batch1	WT_4	144189783.6	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	31.816064839775564	NA	NA	FALSE
batch1	WT_3	147776852.8	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	11833231	NA	NA	FALSE
batch1	WT_2	123139130.1	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	10028908	NA	NA	FALSE
batch1	WT_1	120019383.7	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	10313585	NA	NA	FALSE
batch1	HO_8	151902566.4	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	11431646	NA	NA	FALSE
batch1	HO_7	113671886.5	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	8531254	NA	NA	FALSE
